2/14 12:00:00.001  test-log yells: system messages
2/14 12:00:01.000  Iâlluen has come online.
2/14 12:00:02.000  Nifre has gone offline.
2/14 12:00:03.000  No player named 'Raniyah' is currently playing.
2/14 12:00:04.000  FRIEND_ONLINE
2/14 12:00:05.000  Nasheen: Level 48 Night Elf Warrior <Moonrise Hermitage> - Darkshore
2/14 12:00:06.000  1 player total

2/14 12:00:07.001  test-log yells: personal system messages
2/14 12:00:08.000  You are now Away: AFK
2/14 12:00:09.000  You are no longer Away.
2/14 12:00:10.000  You receive item: Greater Court of Farondis Insignia
2/14 12:00:11.000  You receive loot: Engorged Venom Sac
2/14 12:00:12.000  You loot 24 Gold, 81 Silver, 53 Copper
2/14 12:00:13.000  Received 12 Gold, 87 Silver.
2/14 12:00:14.000  You are refunded 137 Gold, 37 Silver, 60 Copper.
2/14 12:00:15.000  You receive currency: Infused Rubyx9
2/14 12:00:16.000  Burnished Death Shroud Hood has been added to your appearance collection.
2/14 12:00:17.000  155 Anima infused into the Reservoir.
2/14 12:00:18.000  Reputation with Armies of Legionfall increased by 250.
2/14 12:00:19.000  You create: Lovely Charm.
2/14 12:00:20.000  You are now queued in the Dungeon Finder.
2/14 12:00:21.000  Dungeon Difficulty set to Event.
2/14 12:00:22.000  You leave the group.
2/14 12:00:23.000  You have unlearned Watch the Shoes!.
2/14 12:00:24.000  Soulbound with Nadjia the Mistblade.
2/14 12:00:25.000  You have learned a new passive effect: Life of the Party.
2/14 12:00:26.000  You are now saved to this instance
2/14 12:00:27.000  You have learned how to create a new item: A-N0M-A-L0U5 Orthogonal Optics.

2/14 12:00:27.001  test-log yells: party and raid messages
2/14 12:00:28.000  Party converted to Raid
2/14 12:00:29.000  You have joined a raid group. 
2/14 12:00:30.000  Raid Difficulty set to Normal.
2/14 12:00:31.000  Legacy Raid Difficulty set to 25 Player.
2/14 12:00:32.000  Эмпатика-Гордунни has joined the raid group.
2/14 12:00:33.000  Legacy loot rules are enabled.
2/14 12:00:34.000  Legacy loot rules are no longer in effect.
2/14 12:00:35.000  Your party is full.
2/14 12:00:36.000  You have invited Alyssrea to join your group.
2/14 12:00:37.000  Quest accepted: Training in Maldraxxus
2/14 12:00:38.000  Watcher Emil completed.

2/14 12:00:38.001  test-log yells: channel messages
2/14 12:00:39.000  Changed Channel: |Hchannel:2125434992|h[(null)]|h
2/14 12:00:40.000  Left Channel: |Hchannel:1710199296|h[(null)]|h 
2/14 12:00:41.000  |Hchannel:GUILD|h[Guild]|h Nitzuss-ArgentDawn: how are you?
2/14 12:00:42.000  |Hchannel:PARTY|h[Party Leader]|h Arlièn-ArgentDawn: Just a small little investigation, a lead up to the next events. I will see if I can come on over in a moment, but let me just talk with Ialluen.
2/14 12:00:43.000  |Hchannel:RAID|h[Raid]|h Vashíra-ArgentDawn: "Wait...what?"
2/14 12:00:44.000  |Hchannel:PET_BATTLE_COMBAT_LOG|h[Pet Battle]|h: Round 1
2/14 12:00:45.000  |Hchannel:CHANNEL:0|h[MusicianComm]|h Snapfire-ArgentDawn, *Certifiable-ArgentDawn, Stormrae-ArgentDawn, Melky-ArgentDawn, Lendrina-ArgentDawn, Vargestin-ArgentDawn, Selënë-ArgentDawn, Reenfri-ArgentDawn, Sandria-ArgentDawn, Davíona-ArgentDawn, Gudoldtenzin-ArgentDawn, Dragoelf-ArgentDawn, Rezûul-ArgentDawn, Khungygar-ArgentDawn, Rereren-ArgentDawn, Mórdrèd-ArgentDawn, Zaviya-ArgentDawn, Alenastor-ArgentDawn, Hessaline-ArgentDawn, Cillay-ArgentDawn, Algòl-ArgentDawn, Cynthloria-ArgentDawn, Natorî-ArgentDawn, Chiseler-ArgentDawn
2/14 12:00:46.000  [1. General] Thelasya-ArgentDawn: [Guild: Fort of Pillows] is currently recruiting new members to join us for 9.2. We raid two days a week (Wed & Sat) from 19:00 to 22:00. Heroic progressionin in a chill atmosphere and at a decent pace.
2/14 12:00:47.000  [2. Trade] Defiasguy-ArgentDawn: LOL
2/14 12:00:48.000  [9. Community:159037872:1] Irrissia-ArgentDawn: She actually doesn't leave. Just straight turn to ice.
2/14 12:00:49.000  [10. xtensionxtooltip2] Ishlieb-ArgentDawn: GHI2ChannelReadyCheck

2/14 12:00:49.001  test-log yells: convertable messages
2/14 12:00:50.000  |Hchannel:RAID|h[Raid]|h Irrissia-ArgentDawn: *She places one hand on the ground and tries to follow all the magical circle and mentally traces where the different rings are.*
2/14 12:00:51.000  |Hchannel:RAID|h[Raid]|h Vashíra-ArgentDawn: "Do you have more subtile weapons then loud guns, brother?"
2/14 12:00:52.000  |Hchannel:PARTY|h[Party]|h Irrissia-ArgentDawn: (I have my answeeer)

2/14 12:00:52.001  test-log yells: other player messages
2/14 12:00:53.000  %s has earned the achievement It Might Just Save Your Life!
2/14 12:00:54.000  Millamagia-TheSha'tar creates Shaded Bag of Ore.
2/14 12:00:55.000  Xutag-ScarshieldLegion creates Enchanted Elethium Bar.
2/14 12:00:56.000  Tychee-Ravencrest receives loot: Heartbreak Charm.
2/14 12:00:57.000  Blasterjr-Ravencrest has left the instance group.
